"Como una expresión tan simple, una sola oración, puede llegara dañarte tanto. ",sadness,,
eww.. my moms starting to make her annual rum cake for the whole ramdyal/ally family. fml fml fml the smelll....... ,disgust,,
Making art and viewing art are different at their core!   ,fear,,
"Soooo dooowwwn!! Move on, get some sleep... Me deserve better. #forgetit #yawning",anger,,
"&quot;We're sorry, but the clip you selected isn't available from your location. Please select another clip.&quot; NO I REFUSE. ",sadness,,
"Soo if i hit youu , i garrentee i won't stopp . type to keep going till i make a bitch bleed foreal ! ",anger,,
large crowds of manic football fans &amp; mascots ,fear,,
Someone on my high school football team is also called Moriarty. ,fear,,
I just absolutely lost my mind.. :(,anger,,
My earlier tweet should've said &quot;I sometimes think I'm the youngest person...&quot;  ,anger,,
Working on this third drink tho...  Someone is tryna challenge me to a cook off... they've already  ,sadness,,
sounds awful but alot of people are dying recently :(( ,sadness,,
Feeling left out... I guess I always have my boyfriend. ,sadness,,
"So shall they fear the name of the Lord from the west, and his glory from the rising of the sun..... & 59:19 (KJV) #glory #God",fear,,
I only have two class periods left with my favorite teacher. ,sadness,,
Stupid fucking woman on the bus talks to the bus driver every week for ages I wanna get home u stupid dirty old fuck ,anger,,
been awake since 4:30am. too tired for black friday fun. ,sadness,,
"My biggest is loosing you, so please don't make me ever face that fear. You have no absolutely no idea how much you mean to me.",fear,,
Father forgive me for my and help me live boldly in Your #truth #GloryOfTheCross,fear,,
I can't believe I'm saying this but Room 112 by 112 is a big ass simp album. ,sadness,,
"They're playing Manchester Orchestra in between acts...Hey Allston Pudding, I really would have liked to go to that concert. ",anger,,
Naubusan kami ng slot sa 5k ng MILO MARATHON :| ,sadness,,
People are more likely to die in hospital at the weekend? ,fear,,
"If nobody makes plans by tomorrow morning, I'm gonna finally watch all those SVU episodes crowding my DVR.   ",sadness,,
staging environment. private server. logged in to back-end CMS. opening the front-end in new window... too many connections... WTF? ,sadness,,
"&quot;In your do not #sin: do not let the sun go down while you are still angry, and DO NOT GIVE THE #DEVIL A FOOTHOLD.&quot; Ephesians 4:26",anger,,
''What is profound might become absolutely meaningless'' ,fear,,
I want cake. I bet we don't have any. ,sadness,,
"Don't believe the lies, look me in the eyes- please don't be scared of me ",fear,,
Went upstairs for a min and came back to find my puppy ate a huge corner of my book... ,anger,,
Little hesitant to apply deodorant ever again ,fear,,
Packing to leave tomorrow ,sadness,,
Is it a lack of  or a of #loneliness that make people put up with bullshit,fear,,
words cant even describe how i feel right nowww! #mad #cmonguys,anger,,
Had a coffee about 2 hours ago and I'm coming up like a bastard with the and jitters now! Need 2 naggins to calm me down !!!,fear,,
Annoying people who rung you and then hang up once you pick up the phone ,anger,,
"Looking through old Facebook photos, I noticed circa late spring 2009, aka graduation, that my eyes were bugged out.  ",fear,,
We all are not worthy of God's forgiveness. We are saved by His loving grace. Don't harbor resentment.  #fear,anger,,
I'll miss watching Buehrle on the south side. He was my favorite White Sox player. ,sadness,,
And know I pop bottles because I bottle my emotions.. At least I put it all in the open.. ,fear,,
