Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison ,anger
Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison #anger,anger
My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.,anger
"Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..",anger
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. #fuming,anger
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. ,anger
"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman ",anger
"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman #scowl",anger
Hate when guys cant control their anger 🙃🙃,anger
Literally fuming fuck sake,anger
It's the most magical time of the year......Xmas party announced and the #outrage commences. Gotta love Silicon Valley millennials.,anger
I wouldn't have #anger issues.....if she didn't have #lying issues.....think about that one. #pow #lies #confusion,anger
The rage has died down.,anger
"Ananya just grabbed a bible, opened it, started reading, and then said 'where do they talk about burning people?'",anger
All Brian does is sleep and aggravate me,anger
i live and die for mchanzo honeymoon crashing and burning the second they move in together,anger
For the first time in my madden career I just set up a farm account. Should make MOTM much easier,anger
Might just leave and aggravate bae,anger
"Realest ever, relentless ever, inevitable that I win.",anger
"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm  #bored",anger
"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm #snap #bored",anger
"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",anger
S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,anger
#oow16 #sting decent new song,anger
Ok scrubbed hands 5 times before trying to put them in.\nEyeballs #burning \n#EvenMoreBlind accidentally scared the #cat whilst #screeching,anger
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 #fuming,anger
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 ,anger
"I miss my gran singing Rawhide, in her deep baritone growl.",anger
Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy #angry #emotionalrollercoaster,anger
Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy  #emotionalrollercoaster,anger
"Note to self ~ Stop laughing at things that offend you, it's ok to get mad at people \n#NoteToSelf #offended #mad #upset",anger
"I think our defense here at USC is playing well, we just need to fix a few things on offense and we can win the PAC 12 this year'",anger
Eat my ass' is no longer an insult,anger
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant #angry",anger
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant ",anger
"Taking umbrage because Jimmy Carr claimed that Bilbo Baggins went to Mordor on 8 out of 10 cats does Countdown. Know your Baggins', mate.",anger
"Anger, resentment, and hatred are the destroyer of your fortune today.",anger
"Anger, resentment, and hatred are the destroyer of your fortune today.'",anger
If I spend even 5 minutes with you and you already irritate me I seriously will bitch you out until you shut up,anger
Sting is just too damn earnest for early morning listening. ,anger
Sting is just too damn earnest for early morning listening. #sting,anger
Just seeing Alex revells face gets me angry,anger
"(Sam) Brown's Law: Never offend people with style when you can fake that, you have to break us in this Island.",anger
I hope my hustle don't offend nobody,anger
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",anger
Lol little things like that make me so angry x,anger
"At the point today where if someone says something remotely kind to me, a waterfall will burst out of my eyes",anger
This game has pissed me off more than any other game this year. My blood is boiling! Time to turn it off! #STLCards,anger
wanna go home and focus up on this game . Don't wanna rage at all,anger
I wanna see you smile I don't wanna see you make a frown,anger
They gonna give this KKk police bitch the minimum sentence..just wattch #angry,anger
They gonna give this KKk police bitch the minimum sentence..just wattch ,anger
I just got murdered in madden. 🤕,anger
My nephew sees that i have a frown on my face and he tells me 'you're  beautiful '!😢💞😩,anger
new madden 16 video was gonna be up but xbox is being an ahole and not going through 🙄🙄 #struggles,anger
"The animosity toward Hillary comes from conspiracy theories and perception, the animosity toward Trump is based on what he says and does.",anger
Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad #angry,anger
Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad ,anger
I watch Amyah throw temper tantrums when she gets mad at something and I'm just like damnit that is me and I can't do nothing but laugh 😅,anger
Autocorrect changes ''em' to 'me' which I resent greatly,anger
Candice on great british bake off with that pout does my head in 👊🏻🙄,anger
Point scorning and fury at Labor does nothing to address long term detention and the need to resettle #asylumseekers from #manus and #Nauru,anger
Fast and furious 6 this Monday 10 pm on mbc 2 😍😍😍😍😍😍😍,anger
"Not sorry for that burst of anti #Allo spam, fuck any messaging app launching in 2016, without encryption on by default.",anger
So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed #bitter,anger
So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed ,anger
At work yesterday some old cunt couple told me their coffees were cold and wanted a refund so i put my finger in it front of them angrily,anger
When you want to say something so bad but can't ! #furious 😤,anger
“Competition is suppose to motivate you to do better everytime not to be bitter all the time” -De philosopher DJ Kyos \n#quote #success #CSGO,anger
Stop tracking back you fucking potato faced cunt errrr infuriating 😠😠😠😠😠 #angry #Rooney #mufc,anger
Stop tracking back you fucking potato faced cunt errrr infuriating 😠😠😠😠😠  #Rooney #mufc,anger
Yal aggravate tf outta me acting lying yal can't tell the difference between a dyke and a man. RARELY is it that hard to tell the difference,anger
If i could just get my line to block!  #germantownbroncos #lilleague #popwarner #Broncos #usafootball #offense #lineman,anger
Star trek online has a update to download oh fuming yay,anger
The war is right outside your door #rage #USAToday,anger
The war is right outside your door  #USAToday,anger
"A guy was raging so hard during a rocket league game, when i beat him he started crying and i was laughing so hard lol",anger
